412	S	P1 2015		Výraz plachetnice označuje:	loď speciálně konstruovanou pro plavbu pomocí plachet.		jakékoli plavidlo hnané větrem.		plavidlo, využívající plochy lodního tělesa ke zvýšení rychlosti plavby nebo k nouzovému pohonu.	
413	S	P1 2015		Kýlová plachetnice (jachta) je:	plachetnice opatřená kýlem se zátěží.		plachetnice s výměrou plachet nad 30 m2 a samovylévacím kokpitem.		plachetnice nejméně s dvoustěžňovou takeláží a výtlakem minimálně 5 tun.	
414	S	P1 2015		Ploutvokýlová plachetnice (jachta) je:	plachetnice, jejíž trup je protažen do nízkého středního kýlu opatřeného zátěží, kterým prochází spouštěcí ploutev.		plachetnice s pevnou kýlovou ploutví se zátěží (tzv. flundrou) a se samovylévacím kokpitem.		plachetnice opatřenou bočními kýly se zátěží s výměrou plachet do 30 m2.	
415	S	P1 2015		Ploutvová plachetnice je:	plachetnice (převážně menších rozměrů), jejíž trup je opatřen spouštěcí ploutví nebo dvěma bočními otočnými ploutvemi bez zátěže.		malá sportovní plachetnice s výměrou plachet do 15 m2 a pevně přišroubovanou dřevěnou ploutví bez zátěže.		závodní třídová plachetnici do maximální hmotnosti 500 g s ponorným kormidlem a pevnou ploutví.	
416	S	P1 2015		Jola je člun:	s oblými žebry, oblým outorem a zrcadlem.		s lomenými žebry a ostrým outorem.		s rovnými žebry a plochým dnem.	
417	S	P1 2015		Šarpie je člun:	s lomenými žebry, ostrým outorem, úkosovým dnem a zrcadlem.		se širokými boky a plochým dnem.		s oblými žebry protaženými do kýlů, oblým outorem a bez zrcadla.	
418	S	P1 2015		Vyvážené kormidlo je kormidlo:	kde část plochy ploutve leží před osou otáčení, takže je ulehčeno ovládání kormidla vyvážením momentů hydrodynamických sil.		s nástavcem, označované také jako kormidlo dunajské nebo suezské.		jehož ploutev má proudnicový tvar.	
419	S	P1 2015		Přední vaz (klounovec) je:	hlavní výztužná část přídě, tvořící pokračování kýlu vzhůru a svazující přední část kostry plavidla.		přední vodotěsný kolizní prostor.		přední ležatý stěžeň u starších typů plachetnic.	
420	S	P1 2015		Ploutvová skříň je:	pouzdro pevně a vodotěsně připevněné k trupu plavidla, do kterého se zatahuje ploutev.		skříň na kotevní řetěz.		prostor pro uložení potápěčského materiálu (ploutví, brýlí, tlakových nádob atd.).	
421	S	P1 2015		Rolfok:	je součást takeláže umožňující rozvinování a refování kosatky (geny).		není součástí takeláže.		je součást takeláže sloužící k refování hlavní plachty.	
422	S	P1 2015		Kokpit je:	prostor pro posádku ovládající plachetnici.		odklápěcí vodotěsný kryt na přídi.		kulaté vodotěsné lodní okno se šroubovým závěrem.	
423	S	P1 2015		Výraz stěžeň se používá:	pro označení kulatiny přibližně kolmé na lodní palubu.		pro označení kování ráhna.		pro označení kulatiny vystupující z přídě.	
424	S	P1 2015		Výraz hydrostatický vztlak plavidla používáme pro:	označení vertikálního hydrostatického vztlaku vody, který je přímo úměrný objemu ponořené části plavidla.		označení objemu ponořené části plavidla.		sumu všech vztlakových sil působících na plavidlo (závisí na tvaru a objemu lodi a na rychlosti pohybu plavidla vůči vodě).	
425	S	P1 2015		Výraz hydrodynamický vztlak se používá pro:	označení vztlaku vyvozeného hydrodynamickými silami, které vznikají při obtékání ponořených částí plavidla za pohybu.		označení tlaku větru na návětrnou stranu plachty.		hydrodynamickou sílu působící proti směru jízdy.	
426	S	P1 2015		Laterál je:	průmět celkové boční plochy ponořené části plavidla (trupu, kýlu či ploutve, kormidla).		spouštěcí list kormidla.		celková plocha plachet.	
427	S	P1 2015		Výrazem výtlak váhový se označuje:	váha vody, vytlačené plavidlem.		váha prázdného plavidla.		maximální hodnota váhy nákladu.	
428	S	P1 2015		Výrazem těžiště váhy (neboli váhové těžiště) se označuje:	teoretický bod, v kterém působí celková váha plavidla směrem svisle dolů.		lodní nákladový prostor.		olověná zátěž na kýlu.	
